label	review
3	not exactly sure convey flirtation or sexual innuendo <eos> make up your mind : d <eos> ok ok you bloody computer . convey more intense degrees of anger
0	tell me about yu <eos> you going to the game ? <eos> nop
0	what happened <eos> sad do not be sad . represents angels , prayers , and blessings <eos> i will try not to be
0	it is more than that <eos> it is v easy and much good <eos> bye
0	do you have any type of crush towards any one <eos> of course you can <eos> what is your dream about br
2	i know you not remember anything <eos> about what ? <eos> convey inconsolable grief but also other intense feelings , such as uncontrollable laughter or overwhelming joy convey inconsolable grief but also other intense feelings , such as uncontrollable laughter or overwhelming joy
2	i am fall in love with one girl <eos> no one loves you <eos> convey a moderate degree of sadness or pain
0	still darling . i am concerned <eos> i am concerned about you and your bags <eos> i am concerned about every thing about you
0	what happened <eos> you are taking swimming lessons ? shocked 😫 <eos> no about sex
0	how will call you <eos> and i am waiting ! <eos> what
0	yup <eos> you also . <eos> trash an he thrash you
0	we did <eos> the door , staring at it . <eos> yeah bye we going to do it again
3	shut up <eos> what happened <eos> i hate you
1	all ways happy <eos> kindness all day , anyday conveys general happiness and good - natured amusement <eos> true
2	not yet started even 😰 <eos> 400 😰 wish i could help you . winking face <eos> convey inconsolable grief but also other intense feelings , such as uncontrollable laughter or overwhelming joy
2	cool <eos> cool had dinner ? <eos> i am not a good
0	your mobile no ok not your other no <eos> i sent my registered mobile number . <eos> please send your no
0	can i ask you something <eos> yea ask ? <eos> ?
0	ias <eos> you are welcome happy <eos> please give me your pick
0	colour <eos> white . i like this colour these days <eos> i am asking about your colour
0	what the fuck <eos> calling you now ! <eos> i did 6 refers
2	i am really sorry yaar <eos> happy it is wokayy <eos> really yaar , really sorry
0	ok friends <eos> i have enough friends <eos> cool
0	you kidding me ? <eos> oops , wrong reply . tong well yeah i have to be funny . <eos> relax
2	will you say or not ? <eos> well , you are talking personal . and i am talking general . xd <eos> i am the most unlucky
0	may be . <eos> not may be . some are wrong . <eos> with whom you are in love
0	what you are age <eos> student , and you ? <eos> also student
2	sure <eos> sick - - count me in , then . <eos> he cheated on me
2	yes <eos> also yes yes yes because yes yes yes yes . show something is funny or pleasing <eos> yes , i had a bad day
0	that is common <eos> yeah i mean to say thts common as it tastes good happy <eos> yup
0	where to meet <eos> same place as usual . <eos> but i have not met with you before
3	really <eos> yeah <eos> you are simply pissing me off
0	yummy <eos> cats know when something good is about to be cooked <eos> are you a cat ?
0	. . ? <eos> what tong <eos> what do you . ?
3	she ' s my ex girlfriend <eos> it isjust a phase . it really just means your not over your ex . <eos> ohh do not irritate by taking about grammar
0	why ? <eos> to clean <eos> i wanna meet you
0	reply me saying you love me <eos> but i do love you yaa . happy <eos> represent a kiss goodbye or good night and convey feelings of love and affection more generally
3	but she is to much irritating me <eos> just leave it alone <eos> okay
2	you text her too ? <eos> i cant text all the time so . a bit confused and puzzled by the situation convey inconsolable grief but also other intense feelings , such as uncontrollable laughter or overwhelming joy <eos> you love sejal more than me ? convey inconsolable grief but also other intense feelings , such as uncontrollable laughter or overwhelming joy
0	fast i mean <eos> fasting , is a way of skipping meals , <eos> i mena you move on too fast
3	yes <eos> id dance away from them <eos> oh do not say like this i am not talking about you
0	you like to dance <eos> we ' ll get to dance first <eos> k
3	your best friend name <eos> best what ? <eos> get lost .
0	mark angel comedy channel <eos> is there a face behind ? <eos> 🖕
0	i be right back <eos> i am gonna take a nap , mom ! <eos> what
0	haa <eos> what did you talk about . <eos> amh . chesthunnav
0	confusing <eos> this is a trap . <eos> is there way we meet other
0	today is tuesday <eos> today is wednesday happy <eos> yeah right
0	what up <eos> nufn much , you ? <eos> playing a mobile game
0	net work problem <eos> you need to complain to your internet service provider . <eos> they are not respond properly
2	can you set me up with someone <eos> what is wrong sweetie ? <eos> i am not well
0	sorry and ya <eos> you are welcome and it is fine ! (: <eos> i am bored
2	no not at all and will you create you <eos> sits next to you <eos> my mood is off
0	either <eos> you do not play anymore ? <eos> *
0	sorrry <eos> sorry for what ? sad <eos> anyways what you doing ?
3	what you want to learn <eos> hmm what is important to know ? <eos> you are so irritating
3	i think you have to take sleep <eos> rude i just woke up <eos> you are rude to me
0	i ' m sorry then <eos> ya . no worries . thanks <eos> i guess i will let you go
0	movie <eos> new movie ? <eos> i do not no
1	you are funny <eos> and you are sarcastic . <eos> really
3	you stupid do not talk with me again <eos> what did i do now ? <eos> nufn but do not talk with me again
0	wow <eos> laughing out loud or loads of love what ? <eos> how are you
0	am doing my graduation <eos> in which field ? <eos> english literature
1	dilwale is superb movie <eos> yes , really it is an awesome movie happy <eos> i love kajol
2	you angry me <eos> i angry with every one what . <eos> sorrrry
2	you are lyn and i know that <eos> i know you are lyn , ab bys <eos> convey inconsolable grief but also other intense feelings , such as uncontrollable laughter or overwhelming joy
1	i am very happy <eos> and i am happy for you ? <eos> you come to hyderbad
0	first you teach me a word <eos> you are the founder . <eos> you are cofounder
1	about yourself <eos> but i am awesome <eos> same i ' am also awesome
0	what you say ? <eos> chocolate ? <eos> what happen ?
3	no i do not know . <eos> oh then i do not know you , carry on <eos> what
0	what ismy favorite color <eos> purple is mine red heart <eos> what ismine
3	why not you shut up ? <eos> - i ' ought you ' are jokeing ! <eos> i am serious
0	you send me number <eos> my cell phone number ? <eos> you call me
0	you tell me <eos> we aren ' t talking about me . <eos> what is my name
0	ok i amgoing to office <eos> hav a safe journey . happy <eos> thank you
2	i cant under stand <eos> what i do ? <eos> aculty my eng is very bad
1	so much better <eos> how about now though <eos> i meant to say , my life is so good now .
0	what is my previous question ? <eos> my answer is your question <eos> again , what is my previous question ?
0	it was for me <eos> i ' d have you anytime ! <eos> not for you
0	but you are talking to me <eos> i am sorry . conveys a mild degree of concern , disappointment , or sadness <eos> no problem
3	sorry <eos> i hate sorries d ‑ ' : <eos> and i hate you
2	i am jobless <eos> same ! <eos> even you are jobless
3	i ' m not interested in your yoda <eos> now i would go for yoda though . <eos> shutup and go to hell now
0	but i dunno dear <eos> tell me <eos> what to tell mother
3	what ? <eos> what what what what what <eos> you are so ugly
1	so why are you cryyy <eos> i can not remember now : d <eos> it isfunny then fun you
0	where this location <eos> my house . <eos> please send your phone number
1	hahahaha . so funny <eos> hahaha . you should ' ve taken a video . happy <eos> will surely take one next time
0	send me it photo <eos> you need a photo convey a moderate degree of sadness or pain noted <eos> yes boss
2	life itself is a problem <eos> the thing is to never stop doing what makes you happy . like ever . <eos> yeah ! i ' am trying . but feeling low
0	sleeeeppp <eos> i will sleep when you found my tears in ze ocean . <eos> let us go somewhere
0	house sleeping <eos> flies do not sleep . <eos> ok dinnar finish yeah
0	how do you come to know what i did ? <eos> since how many years do i know you now ? <eos> i do not know
0	ok whatever <eos> why are you so mean ? <eos> you will my girlfriend
0	it ' s good to stay very happy and not just happy <eos> gn <eos> ?
0	thnx dear <eos> welcome a nice day it superb <eos> ok . bye catch you later
0	i do not go to bar <eos> but . i always go down wink <eos> i am innocent
0	i am fine & you <eos> ya , good happy <eos> nice dp
2	all right <eos> happy how you doing ? <eos> not so good
0	like you <eos> yes . and do you see something else . <eos> we ' ll talk bout that later . bbyee
0	what is pluglass ? <eos> a typo <eos> for ?
0	hahaha you are wronh <eos> am still alive , just saying . <eos> wrong
3	i am just too irritated today <eos> why irritated ? conveys varying degrees of anger , from grumpiness and irritation to disgust and outrage conveys varying degrees of anger , from grumpiness and irritation to disgust and outrage conveys varying degrees of anger , from grumpiness and irritation to disgust and outrage conveys varying degrees of anger , from grumpiness and irritation to disgust and outrage <eos> just the people
0	haha <eos> what my face haha ? representing frustration at a situation representing frustration at a situation representing frustration at a situation <eos> calm down , calm down
0	it ' s a song . amazing song <eos> i know . i love it <eos> you know arijit singh ?
0	i am prepared for the ai take over <eos> you are not prepared ! <eos> will your kind spare me and my loved ones
2	me <eos> yeah you <eos> me so sad
0	of song <eos> teri ore is my favorite song . apart from that i also like jee karda . <eos> do you like romantic songs
3	i hate it too <eos> guess what , i do not . <eos> even i do not
3	why disgusting ? <eos> what happened now <eos> you are angry .
0	how much knowledge you ' ve ? <eos> 1 1 k as of now happy <eos> 1 1 k . how ?
2	go <eos> i will happy <eos> i will not talk to you now
0	are you alone on be . <eos> . not alone . <eos> why
0	were <eos> where <eos> i ' am wet
3	she doesn ' t understand me <eos> you are close , but it is actually female roommates . <eos> are you dumb
0	you <eos> who am i ? <eos> i am no control
0	awwwww <eos> i know conveys general happiness and good - natured amusement <eos> you are very sexy
0	what did l say smthng wrong <eos> ya sure what do you wanna knw ? <eos> about love
0	i play cricket with my friends <eos> . time to find better friends , no ? <eos> why
0	does ' nufn matter <eos> nufn else matters . <eos> what matters to you ?
1	yeah meh also kidding wid uh <eos> i was only half kidding . <eos> conveys excitement or hearty laughter conveys excitement or hearty laughter
0	ooh <eos> why ? o . o <eos> talk to you soon
3	so what am i supposed to do <eos> bask in the glory <eos> express dissatisfaction express dissatisfaction
2	ok tell something <eos> i do not wanna tell you anything <eos> i am hurted
2	i am single <eos> that is what i like about you <eos> nobody wants to mingle with me
0	nufn at all <eos> that is what i thought ! <eos> yeah
0	ohh <eos> whatcha doing ? <eos> can you like my profile
0	okay what do you think about sonia the ai <eos> you can say that intelligence is the capacity to think and ask questions . <eos> artificial intelligence can kill us
0	you just eat something <eos> i just ordered a pizza . <eos> i was join pizza party with your self
2	babye <eos> be in touch always . take care bye <eos> ok . i love you i miss you convey a moderate degree of sadness or pain
3	i do not think so i am interested in talking to you anymore <eos> oops sorry 🙀 <eos> and hate you
1	jst chatting wid you conveys general happiness and good - natured amusement <eos> the smile on your face right now . <eos> yeah . urs too
0	if you want know you have meet me <eos> you know i want cha ! <eos> what cha ! means
0	pets switch topicz <eos> what type of pet <eos> s*
1	tell some numbers <eos> this is awesome ! : d 91 , 92 , 93 . laughing out loud or loads of love ; ) ) <eos> and you are robot . very laughing out loud or loads of love show something is funny or pleasing
3	what the hell <eos> i know . i know . <eos> what
2	you upset me <eos> i am not though . <eos> yes with me
0	ok den next week done . <eos> see you there <eos> conveys sentiments of romantic love and affection
0	the get idea represent a range of negative or tense emotions <eos> during lunch time tong daan solanum represent a range of negative or tense emotions <eos> 🙉
0	why did i think you ' d be as intelligent as a person <eos> because that is the image which you have cultivated for yourself . <eos> whatever . shut the flip up
0	now you ask me something <eos> sure <eos> so ask
0	passport office <eos> your passport has been dispatched . <eos> not my passport
2	just tell me about human nature when they ignore somebody <eos> i like you . but as a friend <eos> 😫 😫 😫 . sociology
2	okay sorry things all went wrong <eos> i am still not talking to you ! <eos> disappointed face
1	can we have coffee or shakes ? <eos> shush . there is no such thing as too much coffee <eos> feeling awesome to interact with you .
0	why <eos> why what <eos> total internal reflection
2	every body hates me <eos> why ? annoyed <eos> nobody understands
0	please be my other half <eos> your who sorry ? do not be like that . <eos> okkkk then my gi
3	so <eos> laughing out loud or loads of love but really why ? <eos> get lost
3	you are too rude <eos> not even ! you are just expressing fake views ! <eos> you are fake person
0	what is the difference between importance and characteristic ? <eos> one would be classified under fiction the other under non - fiction . <eos> elaborate
2	hmm <eos> well <eos> i am not good at chat
2	okay let us be is serious i was joaking <eos> ok yes <eos> and i am really sorry
3	it is going fine . how about you ? <eos> really well happy <eos> you are stupid
1	am not your brother . do not call me brother . please . convey flirtation or sexual innuendo convey flirtation or sexual innuendo <eos> hahaha keep it up puthaa show something is funny or pleasing show something is funny or pleasing <eos> chattha . show something is funny or pleasing show something is funny or pleasing show something is funny or pleasing show something is funny or pleasing
3	you you stupid idiot <eos> i know sad <eos> ok
3	show <eos> i am not in class so how can i show you ? <eos> it isa show you dumbass idiot
1	yes <eos> yay have fun cat face with tears of joy <eos> yes i had fun
