label	review
sad	feeling to low and depressed these days same same yahhh sure
happy	cool so how about youit israining here ..... enjoying weather
angry	you no i do not you look ugly as fuck
sad	very bad indeed ah, sorry to hear that man. what is goin on? sadness ahh... it is the lab work in cs
angry	yea come hom your high go to bed i wanna fuck you hard
happy	i am happy that is the best feeling! now feeling
others	i am also fine so what are you doing now sweetheart ? smile ) i am study in these time
angry	but i do not like that song what makes it a good song? what message did it get across? what you want to say
angry	i hate it you have to say 'i hate it, i hate it' to the same tune.... anger anger anger anger it is pathetic
others	oh, nice first time xd where are you now ?
sad	very bad fever in a good way or bad? bad
angry	no you are not i really am you are looking like shit
sad	am in big trouble a little bit. help me
angry	anger to you facts you are fake
others	i had some work more like getting some work done! actually who are you..?
angry	you are talking so rude. you love it no i do not
sad	just trie to talk i try but i am just so shy you feel? sad
sad	lonely sorry, that you are feeling lonely. hmm
sad	i cry now meanwhile i am here on my bed sick and cryinf i cry now
happy	which? enjoying my boring reading vacation and you? i enjoying my food
others	thanks you are welcome! = d say me your love story
sad	no i am not why is that? i do not even know, i just want to cry and break things and get thinner
happy	srry....but how to get link...? link to? try you will find a smattering of conversations on. hehe... naughty girl
sad	i was all alone in pain oh sad... :/ what happened to others? i do not know
angry	anger dats not funny you know what is funny smile smile smile smile wht
angry	i have angry on my sister are you seriously... i want to fuck my sister. she is not accepting
sad	am i bull?? mmmmmhmmmmmm. sure you are....
sad	i love it my favorite off that album. i miss my boyfriend...i haven't seen him in days sadness
happy	great thanks!! i was being sarcastic
happy	you cant do this err.. i just did. :p you are so funny
angry	what i do not know what it is sorry! i hate you
sad	nothing! she doesn't even want to talk to me, like we used to do i do not indulge in belittling behavior you doesn't understand
angry	a lot a lot? a lot. do not call be brother anger anger anger anger anger
angry	are you mad i am mad >:\ i hate you
angry	ok show you robo dance yes i am singing stupid
sad	what about you i am just lonely yeah me too sadness
sad	you broke my heart why? you miss me only 12%
happy	ow...nice cheese oh some mayo too. and chicken. and a little dressing. smile
others	okay tell me if you know this have you seen it all? prepare for trouble
sad	not yet oh. you at the show no in d office unhappy
sad	i feel like crying me too i know i need to sleep but i can not i need to talk to somebody
others	watching tv i have been watching freaks and geeks nd you
others	i am good oh really? how so? what is wrong? happyhalloween
others	yup they do hey, i remember you from se-nse forums. love you
sad	it is very bad feeling uuhh stop worrying so much and stop caring yes you are ryt....expectations and feelings hurt you sometimes
happy	i love it you dint like it? i really love it
happy	i love all those i can&apos;t see same for you lot kiss haha
others	sorryi amethiopian why are you saying sorry??? smile!! t.t oki amsorryi amin ethiopia
others	are you hiring someone? i am doing hr freelance work. are you?
sad	well not much it never does. worried about quizes tomorrow
sad	i just love coffee what is your item of choice at starbucks or your preferred coffee shop? i havent been to starbucks. unhappy
angry	you are selfish selfish. i do not wanna talk with you anymore
others	you are pretty you are the awesomest : d how to talk to girls on tinder?
others	thanks same goes to bed pleasure was mine . now go get some rest get hanging
sad	i am in great pain good to know .... my foot hurts so much
others	why? because this is life wht do you want to say??
happy	yea alot i'am so happy me too ya!!! but.... so much to do so less tym! yupp
sad	heartbroken for what?! girl broke it
happy	yes it would hah! smile
