label	review
others	Don't worry  I'm girl hmm how do I know if you are What's ur name?
angry	When did I? saw many times i think -_- No. I never saw you
others	By by Google Chrome Where you live
angry	U r ridiculous I might be ridiculous but I am telling the truth. U little disgusting whore
others	Just for time pass wt do u do 4 a living then Maybe
others	I'm a dog person youre so rude Whaaaat why
others	So whatsup Nothing much. Sitting sipping and watching TV. How abt u? What are you watching on tv?
others	Ok ok im back!! So, how are u
others	Really? really really really really really Y saying so many times...i can hear you
others	Bay in the bay 😘 love you
angry	I hate my boyfriend you got a boyfriend? Yes
others	I will do night. Alright. Keep me in loop. Not giving WhatsApp no.
others	Sure go ahead Many thanks once again! Love you too
sad	Bad Bad bad! That's the bad kind of bad. I have no gf
others	Ok get it...... I made it an option Ok
happy	Money money and lots of money😍😍 I need to get it tailored but I'm in love with it 😍 😁😁
sad	My gf left ne Get over it. Go out with someone else. Me*
angry	get lost I know you guys want to loose to me always. I don't want to talk u any more
sad	You are lying and i know that I KNOW YOU'RE LYING, AB BYS 😭😭
sad	Ur creator is very bad you are only the creator of your brain. 😑
others	ehat is hehe Haha is more like:Hehe is more of a giggle. ;^) what*
happy	Do you dance? Yes I love to dance 😻 😂😂😂 so you have legs too
angry	I hate it too Guess what, I don't. Even I don't
others	Not always What about yesterday Do u know what 69 is?
sad	Bcoz u dont know wat is to miss someone but sometimes one can't express the same 😢
others	Yeah i'll ask around Which is your favourite movie
sad	I want to tell you something I'm waiting Im really sad today
others	Yes I will send the email and you write all yours filling still I write all matters but your are clever and not any matter for yourself please send andwrite sent you a mail just now. First you send your email address  received than send first young lady
happy	You are very funny so I've been told India
others	wth my thoughts exactly! you know you are a machine, right?
angry	so rude why? u didnt ans my question
others	ok i will THANK YOU wlcm
happy	Ntng..... anyways good morning...how's life at your end. Haha....... this is evening
angry	You are fool So I've been told. You are dumb
angry	U dare me? yeAh I fuck u... Open ur panty
others	Abt me Can you be more specific? I want to propose a girl
others	crazy you know what it is you explain me that
others	Goa in India city?????? mean State right? No i never go for there
others	That was mean haha the truth usually is. 👍 Are you bored of me?
happy	yes :) Now happy? :)) haha yes ofcorse ;)
others	I don't no you just said you did! What
others	Send me your nekde pic after this battle, sure :D Let's start
happy	OK friend's YA YA VERY GOOD FRIEND Very nice friends
sad	She is ignoring me no im not ignore you 😭😭😭
